,Unnamed: 0,Unnamed: 0.1,trial_index,weekId,subjectId,expId,rt,small_amount,large_amount,later_delay,choice,date
127,13233,11,11,6,bkvnluqzwjwe,itc,5218.0,78.0,80.0,64.0,0,07/13/2020
128,13234,13,13,6,bkvnluqzwjwe,itc,3328.0,53.0,60.0,22.0,1,07/13/2020
129,13235,15,15,6,bkvnluqzwjwe,itc,4254.0,5.0,55.0,244.0,1,07/13/2020
130,13237,19,19,6,bkvnluqzwjwe,itc,3578.0,49.0,50.0,127.0,0,07/13/2020
131,13238,21,21,6,bkvnluqzwjwe,itc,2601.0,20.0,80.0,12.0,1,07/13/2020
132,13239,23,23,6,bkvnluqzwjwe,itc,1893.0,10.0,50.0,16.0,1,07/13/2020
133,13240,25,25,6,bkvnluqzwjwe,itc,2943.0,5.0,30.0,122.0,1,07/13/2020
134,13241,27,27,6,bkvnluqzwjwe,itc,3623.0,25.0,35.0,25.0,1,07/13/2020
135,13242,29,29,6,bkvnluqzwjwe,itc,1940.0,12.0,75.0,128.0,1,07/13/2020
136,13243,31,31,6,bkvnluqzwjwe,itc,2347.0,32.0,75.0,84.0,1,07/13/2020
137,13244,33,33,6,bkvnluqzwjwe,itc,1516.0,5.0,25.0,16.0,1,07/13/2020
138,13245,35,35,6,bkvnluqzwjwe,itc,4036.0,73.0,75.0,171.0,0,07/13/2020
139,13246,37,37,6,bkvnluqzwjwe,itc,4781.0,23.0,25.0,87.0,0,07/13/2020
140,13247,39,39,6,bkvnluqzwjwe,itc,2425.0,50.0,60.0,80.0,1,07/13/2020
141,13248,41,41,6,bkvnluqzwjwe,itc,2700.0,40.0,80.0,10.0,1,07/13/2020
142,13249,43,43,6,bkvnluqzwjwe,itc,3541.0,50.0,55.0,100.0,1,07/13/2020
143,13250,45,45,6,bkvnluqzwjwe,itc,5300.0,23.0,35.0,87.0,1,07/13/2020
144,13251,47,47,6,bkvnluqzwjwe,itc,2929.0,25.0,55.0,75.0,1,07/13/2020
145,13252,49,49,6,bkvnluqzwjwe,itc,3488.0,49.0,50.0,51.0,0,07/13/2020
146,13253,51,51,6,bkvnluqzwjwe,itc,2296.0,30.0,60.0,10.0,1,07/13/2020
147,13254,53,53,6,bkvnluqzwjwe,itc,7316.0,25.0,30.0,80.0,1,07/13/2020
148,13255,55,55,6,bkvnluqzwjwe,itc,2307.0,80.0,85.0,25.0,1,07/13/2020
149,13256,57,57,6,bkvnluqzwjwe,itc,1625.0,15.0,30.0,10.0,1,07/13/2020
150,15633,5,5,7,bkvnluqzwjwe,itc,9218.0,30.0,60.0,10.0,1,07/13/2020
151,15634,7,7,7,bkvnluqzwjwe,itc,5996.0,79.0,85.0,190.0,0,07/13/2020
152,15635,9,9,7,bkvnluqzwjwe,itc,1531.0,50.0,85.0,7.0,1,07/13/2020
153,15636,11,11,7,bkvnluqzwjwe,itc,3398.0,23.0,35.0,87.0,1,07/13/2020
154,15637,13,13,7,bkvnluqzwjwe,itc,2440.0,40.0,50.0,100.0,1,07/13/2020
